combo_size,phase,condition_name,n,manshu_n,manshu_rate,diff_vs_baseline,lift,ci95_low,ci95_high,p_value,train_n,train_manshu_n,train_rate,valid_n,valid_manshu_n,valid_rate,valid_diff_vs_baseline,valid_lift,mean_payout,median_payout,max_payout,reproducibility,priority,families
6,直前版,早いレース(1-4R) × デイ時間帯 × 1号艇全国勝率<4.5 × 1号艇が全体平均以下 × 外枠A級2人以上 × 展示タイム差>=0.08,128,46,0.359375,0.19457813171337185,2.1807149840672073,0.281465985317146,0.44547907602919684,2.961114464739012e-09,90,32,0.35555555555555557,38,14,0.3684210526315789,0.20159273061412014,2.2083843329253363,10918.984375,5505.0,132320.0,再現あり,中,"race_slot,time_zone,lane1_national,lane1_relative,outer_class,exhibition_range"
5,直前版,早いレース(1-4R) × デイ時間帯 × 1号艇全国勝率<4.5 × 外枠A級2人以上 × 展示タイム差>=0.08,129,46,0.35658914728682173,0.19179227900019358,2.1638102167488573,0.27917597516976866,0.4422968164858573,4.316450752384071e-09,91,32,0.3516483516483517,38,14,0.3684210526315789,0.20159273061412014,2.2083843329253363,10852.558139534884,5370.0,132320.0,再現あり,中,"race_slot,time_zone,lane1_national,outer_class,exhibition_range"
6,直前版,1号艇が全体平均以下 × 勝率レンジ<=2.0 × 外枠A級2人以上 × 外枠モーター強者あり × 風速5m以上 × 展示タイム差>=0.08,122,43,0.3524590163934426,0.18766214810681447,2.138748266626142,0.2733713245560173,0.44055475394266674,2.3089928413710936e-08,87,30,0.3448275862068966,35,13,0.37142857142857144,0.20460024941111266,2.22641196013289,11937.868852459016,5135.0,179250.0,再現あり,中,"lane1_relative,balance,outer_class,outer_motor,wind,exhibition_range"
5,朝版,早いレース(1-4R) × デイ時間帯 × 1号艇全国勝率<4.5 × 1号艇が全体平均以下 × 外枠A級2人以上,134,47,0.35074626865671643,0.18594940037008828,2.1283551823731863,0.2751320108027539,0.4346798311955979,6.553418696597646e-09,96,33,0.34375,38,14,0.3684210526315789,0.20159273061412014,2.2083843329253363,10692.686567164179,5280.0,132320.0,再現あり,中,"race_slot,time_zone,lane1_national,lane1_relative,outer_class"
6,直前版,早いレース(1-4R) × デイ時間帯 × 1号艇全国勝率<4.5 × 外枠A級2人以上 × B級3人以上 × 展示タイム差>=0.08,120,42,0.35,0.18520313171337183,2.123826767091541,0.27051765896559277,0.4387884223511861,4.5385366576056185e-08,84,29,0.34523809523809523,36,13,0.3611111111111111,0.19428278909365232,2.164567183462532,10849.5,5030.0,132320.0,再現あり,中,"race_slot,time_zone,lane1_national,outer_class,b_count,exhibition_range"
4,朝版,早いレース(1-4R) × デイ時間帯 × 1号艇全国勝率<4.5 × 外枠A級2人以上,135,47,0.34814814814814815,0.18335127986152,2.1125895884296813,0.2729969034656345,0.4317025526051686,9.343989137988729e-09,97,33,0.3402061855670103,38,14,0.3684210526315789,0.20159273061412014,2.2083843329253363,10630.888888888889,5190.0,132320.0,再現あり,中,"race_slot,time_zone,lane1_national,outer_class"
6,直前版,早いレース(1-4R) × 1号艇全国勝率<4.5 × 外枠A級2人以上 × 外枠モーター強者あり × 外枠が1号艇より展示上位 × 展示タイム差>=0.08,141,49,0.3475177304964539,0.18272086220982575,2.1087641659064946,0.27390651857558984,0.42921744581033244,4.967221522989007e-09,103,35,0.33980582524271846,38,14,0.3684210526315789,0.20159273061412014,2.2083843329253363,10700.921985815603,5480.0,147660.0,再現あり,中,"race_slot,lane1_national,outer_class,outer_motor,outer_exhibition,exhibition_range"
6,直前版,1号艇全国勝率<5.0 × 1号艇が外枠最強艇より勝率低い × 勝率レンジ<=1.5 × A1が1人以下 × 進入固定ではない × 外枠が1号艇より展示上位,121,42,0.34710743801652894,0.18231056972990078,2.106274479760206,0.26817156951865984,0.4354528633626873,6.463625545904961e-08,86,32,0.37209302325581395,35,10,0.2857142857142857,0.11888596369682691,1.7126245847176078,11535.86776859504,5150.0,84540.0,再現あり,中,"lane1_national,lane1_relative,balance,a1_count,entry_rule,outer_exhibition"
6,直前版,1号艇A1でない × 1号艇全国勝率<5.0 × 1号艇が外枠最強艇より勝率低い × 勝率レンジ<=1.5 × 進入固定ではない × 外枠が1号艇より展示上位,121,42,0.34710743801652894,0.18231056972990078,2.106274479760206,0.26817156951865984,0.4354528633626873,6.463625545904961e-08,85,32,0.3764705882352941,36,10,0.2777777777777778,0.110949455760319,1.6650516795865633,11539.09090909091,5150.0,84540.0,再現あり,中,"lane1_class,lane1_national,lane1_relative,balance,entry_rule,outer_exhibition"
6,直前版,1号艇A1でない × 1号艇全国勝率<5.0 × 1号艇が外枠最強艇より勝率低い × 勝率レンジ<=1.5 × A1が1人以下 × 外枠が1号艇より展示上位,124,43,0.3467741935483871,0.18197732526175897,2.10425232684185,0.2687461961443377,0.4340109658436223,4.7060361607620393e-08,87,33,0.3793103448275862,37,10,0.2702702702702703,0.1034419482528115,1.6200502828409806,11635.322580645161,5220.0,84540.0,再現あり,中,"lane1_class,lane1_national,lane1_relative,balance,a1_count,outer_exhibition"
