date,month,place_name,round,race_id,morning_rank,post_rate_pct,rule,buy,points,stake_yen,payback_yen,payout_yen,trifecta,hit,is_manshu,is_over5000,heads,axes,keshi,tickets,checks
2026-06-29,2026-06,多摩川,6,2026-06-290506,1,29.54,skip_rate_ng,0,0,0,0,15870,536,0,1,1,,,,,展示後38%未満:NG(29.54%)
2026-06-29,2026-06,住之江,3,2026-06-291203,2,22.96,skip_rate_ng,0,0,0,0,1450,123,0,0,0,,,,,展示後38%未満:NG(22.96%)
2026-06-29,2026-06,戸田,2,2026-06-290202,3,32.94,skip_rate_ng,0,0,0,0,1760,245,0,0,0,,,,,展示後38%未満:NG(32.94%)
2026-06-29,2026-06,宮島,2,2026-06-291702,4,32.94,skip_rate_ng,0,0,0,0,3380,241,0,0,0,,,,,展示後38%未満:NG(32.94%)
2026-06-29,2026-06,戸田,6,2026-06-290206,5,27.24,skip_rate_ng,0,0,0,0,1220,324,0,0,0,,,,,展示後38%未満:NG(27.24%)
2026-06-29,2026-06,住之江,1,2026-06-291201,6,25.59,skip_rate_ng,0,0,0,0,6370,241,0,0,1,,,,,展示後38%未満:NG(25.59%)
2026-06-29,2026-06,三国,8,2026-06-291008,7,31.71,skip_rate_ng,0,0,0,0,10450,234,0,1,1,,,,,展示後38%未満:NG(31.71%)
2026-06-29,2026-06,常滑,8,2026-06-290808,8,38.47,skip_subcore_conditions_ng,0,0,0,0,5330,235,0,0,1,,,,,"展示後38〜39.9%:OK(38.47%) / 1号艇危険:OK / 1AI予測22.9% / 1逃げ8.0% / 1逃げ失敗76.0% / 1展示+周平均との差-0.56 / 外頭2艇の2番手まで強い:NG(頭3,4,下限29.6) / 5/6絡み:NG / 内軸残り:OK(軸6,1) / 軸ルール:AI3連対率+一般3連対率の1位と3位（頭と重なる時はAI3連対率+一般3連対率の2位と3位で補完）"
2026-06-29,2026-06,常滑,9,2026-06-290809,9,28.46,skip_rate_ng,0,0,0,0,1160,325,0,0,0,,,,,展示後38%未満:NG(28.46%)
2026-06-29,2026-06,江戸川,7,2026-06-290307,10,28.64,skip_missing_exhibition,0,0,0,0,3180,241,0,0,0,,,,,展示/1周6艇未満
