feature_family,condition,mode,n,manshu_rate,manshu_lift,target_arare_rate,target_arare_lift,role_core_success_rate,confidence,note
existing_score_reference,existing_score top3/day,preview,135,0.28888888888888886,1.7529998712501609,0.5333333333333333,1.766840634719806,,medium,既存スコアは欠損が多く比較可能範囲のみ。
existing_score_reference,existing_score top10/day,preview,450,0.2822222222222222,1.712546028067465,0.5244444444444445,1.7373932908078096,,medium,既存スコアは欠損が多く比較可能範囲のみ。
race_ranking,chaos_score top3/day,preview,429,0.2703962703962704,1.640785247969489,0.4988344988344988,1.6525519922641543,,high,荒れ期待ランキング。既存本番置換ではなく分析用。
existing_score_reference,existing_score top5/day,preview,225,0.26222222222222225,1.591184498519377,0.5022222222222222,1.6637749310278174,,medium,既存スコアは欠損が多く比較可能範囲のみ。
race_ranking,chaos_score top5/day,preview,715,0.22797202797202798,1.3833517004432416,0.46153846153846156,1.5289967031229093,,high,荒れ期待ランキング。既存本番置換ではなく分析用。
role_segment,消し艇番別=1,preview,3616,0.21736725663716813,1.3190011369579262,0.4150995575221239,1.3751526856580627,0.1698008849557522,medium,単独セグメント。候補生成式の補助特徴として扱う。
race_ranking,chaos_score top10/day,preview,1430,0.21188811188811188,1.285753267589884,0.43286713286713285,1.4340135745955769,,high,荒れ期待ランキング。既存本番置換ではなく分析用。
role_segment,頭1番手艇番別=6,preview,3329,0.2021628116551517,1.2267394020105629,0.35686392310003,1.182228150747482,0.19975968759387203,medium,単独セグメント。候補生成式の補助特徴として扱う。
role_segment,場別=江戸川,preview,779,0.19897304236200256,1.2073836379944576,0.355584082156611,1.177988260150962,0.2772785622593068,medium,単独セグメント。候補生成式の補助特徴として扱う。
role_segment,場別=桐生,preview,956,0.19874476987447698,1.2059984630824652,0.34518828451882844,1.1435487894695398,0.27405857740585776,medium,単独セグメント。候補生成式の補助特徴として扱う。
role_segment,場別=鳴門,preview,742,0.19811320754716982,1.2021660945801178,0.3436657681940701,1.138504957514026,0.2857142857142857,medium,単独セグメント。候補生成式の補助特徴として扱う。
role_segment,場別=三国,preview,847,0.19244391971664698,1.1677644224520871,0.33412042502951594,1.1068828946850024,0.27863046044864226,medium,単独セグメント。候補生成式の補助特徴として扱う。
role_segment,場別=戸田,preview,719,0.1905424200278164,1.1562259769185024,0.3908205841446453,1.2947206667844198,0.33936022253129344,medium,単独セグメント。候補生成式の補助特徴として扱う。
role_segment,消し艇番別=2,preview,1822,0.18990120746432493,1.1523350500449636,0.31613611416026344,1.0473039986264492,0.23600439077936333,medium,単独セグメント。候補生成式の補助特徴として扱う。
role_segment,グレード別=G1,preview,1472,0.18682065217391305,1.1336420049498717,0.3077445652173913,1.0195042555129996,0.16508152173913043,medium,単独セグメント。候補生成式の補助特徴として扱う。
role_segment,R番号別=2,preview,1757,0.18269778030734207,1.10862410315698,0.3437677859988617,1.1388429247695961,0.257256687535572,medium,単独セグメント。候補生成式の補助特徴として扱う。
role_segment,場別=児島,preview,1046,0.17590822179732313,1.067424542870373,0.3384321223709369,1.1211667985614449,0.2390057361376673,medium,単独セグメント。候補生成式の補助特徴として扱う。
